#TYPE System.Management.Automation.PSCustomObject
"Total","Recs","File","Action"
"9265.5077","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SYK-FY2014.CSV","End Processing"
"0.9985","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SYMC-FY2014.CSV","Start Processing"
"9596.8054","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SYMC-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SYY-FY2014.CSV","Start Processing"
"8579.2917","257","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SYY-FY2014.CSV","End Processing"
"1.5207","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SBAC-FY2015.CSV","Start Processing"
"8986.3847","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SBAC-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SBUX-FY2015.CSV","Start Processing"
"8367.15","257","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SBUX-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SCG-FY2015.CSV","Start Processing"
"8840.3897","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SCG-FY2015.CSV","End Processing"
"0.5007","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SCHW-FY2015.CSV","Start Processing"
"8801.9205","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SCHW-FY2015.CSV","End Processing"
"1.0145","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SEE-FY2015.CSV","Start Processing"
"8539.5937","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SEE-FY2015.CSV","End Processing"
"0.4981","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SHW-FY2015.CSV","Start Processing"
"8357.8404","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SHW-FY2015.CSV","End Processing"
