#TYPE System.Management.Automation.PSCustomObject
"Total","Recs","File","Action"
"9236.6312","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\KR-FY2016.CSV","End Processing"
"0.4886","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\KSS-FY2016.CSV","Start Processing"
"9278.5102","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\KSS-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\KSU-FY2016.CSV","Start Processing"
"9166.343","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\KSU-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\K-FY2017.CSV","Start Processing"
"9333.485","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\K-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\KEY-FY2017.CSV","Start Processing"
"10332.852","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\KEY-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\KHC-FY2017.CSV","Start Processing"
"9683.1331","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\KHC-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\KIM-FY2017.CSV","Start Processing"
"9916.1781","254","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\KIM-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\KLAC-FY2017.CSV","Start Processing"
"9666.4322","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\KLAC-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\KMB-FY2017.CSV","Start Processing"
"9066.4088","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\KMB-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\KMI-FY2017.CSV","Start Processing"
"9383.5818","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\KMI-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\KMX-FY2017.CSV","Start Processing"
"9966.0524","251","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\KMX-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\KO-FY2017.CSV","Start Processing"
"9316.5001","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\KO-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\KORS-FY2017.CSV","Start Processing"
"8982.2401","251","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\KORS-FY2017.CSV","End Processing"
"0.5076","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\KR-FY2017.CSV","Start Processing"
"9800.2031","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\KR-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\KSS-FY2017.CSV","Start Processing"
"9115.475","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\KSS-FY2017.CSV","End Processing"
"15.6226","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\KSU-FY2017.CSV","Start Processing"
"9433.7682","254","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\KSU-FY2017.CSV","End Processing"
