#TYPE System.Management.Automation.PSCustomObject
"Total","Recs","File","Action"
"9050.7622","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\ESRX-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\ESS-FY2015.CSV","Start Processing"
"9066.7589","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\ESS-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\ETFC-FY2015.CSV","Start Processing"
"8832.8478","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\ETFC-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\ETN-FY2015.CSV","Start Processing"
"9714.6422","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\ETN-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\ETR-FY2015.CSV","Start Processing"
"8851.3613","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\ETR-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\EVHC-FY2015.CSV","Start Processing"
"8775.1785","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\EVHC-FY2015.CSV","End Processing"
"0.9861","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\EW-FY2015.CSV","Start Processing"
"8888.9502","253","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\EW-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\EXC-FY2015.CSV","Start Processing"
"8884.188","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\EXC-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\EXPD-FY2015.CSV","Start Processing"
"9249.3667","254","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\EXPD-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\EXPE-FY2015.CSV","Start Processing"
"8966.6537","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\EXPE-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\EXR-FY2015.CSV","Start Processing"
"9809.1388","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\EXR-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\EA-FY2016.CSV","Start Processing"
"9107.0517","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\EA-FY2016.CSV","End Processing"
"0.5448","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\EBAY-FY2016.CSV","Start Processing"
"8567.6825","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\EBAY-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\ECL-FY2016.CSV","Start Processing"
"9248.5625","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\ECL-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\ED-FY2016.CSV","Start Processing"
"9217.2022","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\ED-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\EFX-FY2016.CSV","Start Processing"
"9298.7886","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\EFX-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\EIX-FY2016.CSV","Start Processing"
"9550.8214","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\EIX-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\EL-FY2016.CSV","Start Processing"
"9083.1712","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\EL-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\EMN-FY2016.CSV","Start Processing"
"9280.9502","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\EMN-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\EMR-FY2016.CSV","Start Processing"
"8735.2927","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\EMR-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\EOG-FY2016.CSV","Start Processing"
"8333.1021","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\EOG-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\EQIX-FY2016.CSV","Start Processing"
"8866.4514","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\EQIX-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\EQR-FY2016.CSV","Start Processing"
"9065.8747","257","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\EQR-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\EQT-FY2016.CSV","Start Processing"
